image_name, item_name, item_desc
00.png, "マルチスポーツユニフォーム", "この商品は、鮮やかなグリーンカラーのユニフォームです。ストレッチ性に優れた機能性素材を使用し、動きやすさを重視したMサイズのデザインとなっています。価格は4,980円で、ミドルレンジながら高い汗吸収性と通気性を備えています。体育の授業からアウトドアスポーツまで幅広いシーンで活躍するユニフォームです。"
01.png, "コンフォートエアシャツ", "この製品は、シンプルながらも上質なデザインのメンズ用半袖シャツです。サイズはLで、程よくゆとりのあるリラックス感のあるシルエットとなっています。価格は5,900円と手の届くミドルレンジながら、滑らかな肌触りの高級素材を使用しています。通気性とストレッチ性に優れ、オフィスカジュアルからアウトドアスポーツまで幅広いシーンで着こなせる万能アイテムです。"
02.png, "さわやかスポーツシャツ グリーン","この製品は、さわやかなミントグリーンカラーの半袖シャツです。サイズはXLで余裕のあるゆとりのあるシルエットとなっています。価格は4,200円と手頃な設定ながら、高い通気性と速乾性を備えた機能素材を使用しています。オフィスシーンからアウトドアスポーツまで幅広く活躍する、洗練されたスポーティデザインのシャツです。気分晴耘の爽やかなグリーンカラーが夏の装いをさわやかに演出します。"
03.png, "爽快スポーツポロシャツ ミントブルー", "この製品は、爽やかなミントブルーのポロシャツです。さらりとした着心地の良い素材を使用し、Lサイズのゆとりあるシルエットとなっています。価格は3,980円と手頃な設定ながら、高い吸汗速乾性に優れた機能素材を採用しています。ゴルフやテニスなどのスポーツシーンはもちろん、リゾートスタイルにも最適な1枚です。爽やかな印象のカラーリングが、暑い季節の装いを清涼感あふれるスポーティームードに彩ります。"
04.png, "フィットロングインナー 吸汗速乾ブラック", "この製品は、シンプルながらも機能的なブラックのロングスリーブアンダーウェアです。サイズはMで、フィットした細身のシルエットとなっています。価格は3,200円と手頃で、吸汗速乾性に優れたストレッチ素材を使用しています。様々なスポーツシーンでのインナーとしてはもちろん、冷えやすい日のアウターインナーとしても大活躍する万能アイテムです。シンプルなブラック色味は、コーディネートを選ばずスポーティーな装いを演出できます。"
05.png, "アクティブTシャツ グリーン", "この製品は、鮮やかなグリーンのスポーツTシャツです。サイズはLで、肩口から袖にかけてメッシュ素材を使用した通気性の高いデザインとなっています。価格は4,500円と手頃ながら、高い吸汗速乾性能を備えた機能的な素材を採用しています。ラグビーやサッカーなどのスポーツシーンで大活躍するアクティブウェアで、動きやすさと爽快感を両立させた高機能モデルです。鮮やかなグリーンのカラーリングがクールな印象を与え、夏場のプレーにも映えるアイテムです。"
06.png, "パフォーマンススポーツTシャツ グリーン", "この製品は、深みのあるグリーンのスポーツTシャツです。サイズはMで、身体にフィットするスリムなシルエットとなっています。価格は5,800円と高機能モデルながら、優れた吸汗速乾性と通気性を兼ね備えた高性能素材を使用しています。ラグビーやサッカーなどの本格的なスポーツシーンで活躍する、アスリートのための肉体労働向けウェアです。袖から背中にかけてメッシュ素材を配して汗の蒸れを軽減し、ムレを抑えたドライな着心地を実現しています。"
07.png, "機能性フィットネスウェア セットアップ イエロー", "この製品は、鮮やかなマスタードイエローのスポーツウェア上下セットです。ストレッチ性に優れた機能素材を使用し、トップスはMサイズで身体にフィットするシルエット、ボトムスはLサイズのゆとりのあるシルエットとなっています。価格は上下セットで9,800円と高機能ながらリーズナブルな設定です。ランニングやフィットネスなどのスポーツシーンで大活躍する、高い吸汗速乾性と優れた運動機能性を兼ね備えたアイテムです。鮮やかな黄色が目を引く爽やかなスポーティールックは、夏のアクティブシーンに映える一着です。"
08.png, "シンプルスポーツロングTシャツ グリーン", "この製品は、落ち着いたグリーンのロングスリーブスポーツTシャツです。サイズはLで、ややゆとりのあるリラックスフィットのシルエットとなっています。価格は4,300円と手頃な設定ながら、高い吸汗速乾機能を備えた機能素材を採用しています。袖口と裾にブラックのラインを施したスポーティーなデザインで、ランニングやフィットネスなどのスポーツシーンはもちろん、タウンユースにも最適です。洗練された色味とシンプルなデザインで、様々なスタイリングに程よくスポーツテイストを加えられる優秀アイテムです。"
09.png, "スリムフィットドライインナー グレーグリーン", "この製品は、落ち着いたグレーグリーンのロングスリーブアンダーウェアです。サイズはMで、フィットしたスリムなシルエットとなっています。価格は3,800円と手頃ながら、優れた吸汗速乾性と通気性を備えた高機能素材を使用しています。様々なスポーツシーンでのベースレイヤーとして活躍するほか、インナーウェアとしても汎用性が高いアイテムです。無地のシンプルなデザインは、コーディネートを選ばずスポーティームードを演出できます。肌離れの良い肌触りで、長時間着用しても快適な着心地が持続します。"
