image_name, item_name, item_desc
00.png, "アンティークデザイン2人掛けソファ", "この上品なタフティングソファは、クラシックなデザインと高級感のある艶やかなベージュ色の外観が魅力的です。サイズは幅約180cm、奥行き90cm、高さ120cmと2人掛けに最適なコンパクトなサイズです。価格は128,000円と高級品ながら、リビングのアクセントソファとしてお求めいただけます。居間での読書やくつろぎの時間に、エレガントな雰囲気を演出してくれるでしょう。"
01.png, "イギリス調アンティークソファ", "この高級感溢れるグレーのチェスターフィールドソファは、クラシックなデザインと上質なファブリックが魅力的です。サイズは幅約200cm、奥行き90cm、高さ80cmと3人掛けに最適です。価格は248,000円と高額ですが、重厚な雰囲気と座り心地の良さが売りの一品です。リビングのメインソファとして、また応接室やオフィスのラウンジスペースにも最適でしょう。英国紳士の雰囲気を醸し出す、上質なくつろぎ空間を演出します。"
02.png, "シンプルチャコールグレーラグ", "この薄手のウッドコアラグは、シックなグレー色のパイル地が特徴的なモダンデザインです。サイズは幅約180cm、奥行き240cmのラグマット仕様で、リビングルームのメインラグとして最適です。価格は38,000円と手頃な値段設定ながら、高級感のある質感と汚れにくい機能性が売りです。インテリアを選ばずお部屋に合わせやすく、お手入れも簡単なのでお勧めの一品です。リビングのスタイリッシュな空間演出に活躍してくれるでしょう。"
03.png, "ペルシャ風ラグ", "この絨毯は伝統的なペルシャ柄のデザインで、淡いベージュを基調とした上品な色使いが特徴的です。サイズは約2mX3mの大型で、リビングや寝室に高級感を演出します。価格は125,000円とリーズナブルながら、ウールなどの天然素材を使った品質の高さが魅力です。ホコリがたまりにくく掃除が簡単なので、お手入れも楽です。"
04.png, "モダンカーブダイニングチェア", "この椅子はシンプルでモダンなデザインのダイニングチェアです。座面は柔らかいグレーの生地で、背もたれは滑らかにカーブしたスタイリッシュなフォルムが特徴的です。サイズは標準的なダイニングチェアで、天然木の脚部とマッチしてすっきりとした印象を与えます。価格は1脚16,000円と手頃ですが、品質の高さと上質な佇まいが魅力です。リビングや書斎にも馴染み、快適な座り心地を提供する実用的な一品です。"
05.png, "ダイニングチェア", "この椅子は無駄のないシンプルでスタイリッシュなデザインが特徴的です。座面と背もたれはブラックの人工皮革を使用し、脚部はスチール製の堅牢な作りとなっています。サイズは標準的なダイニングチェアで、コンパクトながらしっかりとした座り心地が期待できます。価格は27,000円と高めですが、頑丈な造りと洗練されたフォルムが魅力です。モダンなインテリアに最適で、長年使える実用的な一品と言えるでしょう。"
06.png, "多目的収納ワークデスク", "この商品は機能的なデスク兼収納ユニットです。全体が落ち着いたブラックの木製で、シンプルながらも品があるデザインが特徴的です。天板の大きなデスク部分には作業スペースが確保され、上部には小物入れの開閉棚が5つ付いています。サイズは幅150cm×奥行き70cm×高さ145cmの実用的なつくりです。価格は69,800円と手頃ですが、頑丈な作りと収納力の高さが魅力です。リビングや書斎、子供部屋にも最適な多目的な家具となるでしょう。"
07.png, "ホワイト木製ワークデスク", "この商品は清潔感あふれるホワイトの木製デスクです。シンプルでスッキリしたデザインながら、サイドに2段の引き出しが付いて小物の収納に便利です。天板の奥行きは十分にあり、机上が広く使えるのが特徴です。サイズは幅120cm×奥行き60cm×高さ75cmの標準的な大きさです。価格は34,800円と手頃ですが、頑丈な作りと実用性の高さが魅力です。リビングや書斎、子供部屋などさまざまなシーンで活躍する万能な逸品だと言えるでしょう。"
08.png, "北欧スタイル木製テーブル", "この商品はシンプルでモダンなデザインのダイニングテーブルです。天板は幅広の無垢材を使った高級感のある作りで、ナチュラルなウッド調の素材感が魅力的です。脚部は無垢材の太めの円柱型で安定感があります。サイズは幅180cm×奥行き90cm×高さ70cmのファミリーサイズです。価格は98,000円と高めですが、クオリティの高さと上品な佇まいが魅力です。北欧テイストのインテリアによく馴染み、木の温もりを感じられる上質なテーブルだと言えるでしょう。"
09.png, " ナチュラルウッドテーブル  ", "この商品は、ナチュラルでシンプルなデザインの木製ダイニングテーブルです。天板と脚部はオーク材を使用した無垢の木でつくられており、質感と風合いが魅力的です。サイズは幅160cm×奥行き80cm×高さ70cmのファミリーサイズながら、デザインの シンプルさから圧迫感はありません。価格は85,000円と比較的高めですが、天然木の良さと丁寧な造りが感じられる逸品です。北欧インテリアによく合う、木の温かみのある上質なテーブルだと言えるでしょう。"
